# time,x_position,y_position,z_position
92.10921092,116338.97498533,86089.67248471,26814.53383377
92.11921192,115861.19212772,87476.66764224,26430.70944849
92.12921292,115164.99962855,88711.49117464,25891.33669708
92.13921392,114295.82115003,89745.64353007,25204.02973866
92.14921492,113301.56848664,90538.51286591,24379.84744143
92.15921592,112236.92177884,91057.75745582,23435.04285139
92.16921692,111161.13952888,91285.43638161,22391.21632186
92.17921792,110137.63944027,91218.19055544,21275.18560976
92.18921892,109227.22494159,90867.18105785,20115.48427534
92.19921992,108493.03858278,90254.30077768,18941.43770092
92.20922092,107989.55035133,89418.69255162,17781.53429455
92.21922192,107758.47544744,88418.40629076,16662.49345076
92.22922292,107828.34453624,87329.42864823,15608.94179506
92.23922392,108208.44542851,86230.34552448,14637.21105934
92.24922492,108891.75671289,85205.06464831,13756.74941619
92.25922592,109849.04629511,84330.37856682,12970.01577808
92.26922692,111026.89028021,83671.75264743,12271.50157282
92.27922792,112353.51912120,83280.34745058,11648.67311496
92.28922892,113758.70672623,83184.75997400,11086.56749125
92.29922992,115167.89820995,83396.57559698,10568.71728570
92.30923092,116511.45460111,83905.42767820,10078.45016791
92.31923192,117725.65516880,84679.24449575,9599.09005358
92.32923292,118760.59579612,85677.85957599,9116.94075606
92.33923392,119577.06947481,86855.71955972,8621.40198447
92.34923492,120147.68429959,88162.18385382,8104.28227544
92.35923592,120458.50363428,89543.32329697,7560.11884810
92.36923692,120507.15817588,90946.15626920,6985.92293179
92.37923792,120296.87048572,92320.62130296,6380.64495435
92.38923892,119838.57316397,93618.42043039,5744.74005123
92.39923992,119151.75402048,94795.82031083,5079.96752781
92.40924092,118264.45607482,95813.65223077,4389.39085946
92.41924192,117211.36746967,96638.96501018,3677.02333917
92.42924292,116028.56443658,97243.41997699,2947.13705652
92.43924392,114757.59872806,97602.03168368,2204.30593109
92.44924492,113444.65933229,97699.68503117,1452.66131659
92.45924592,112140.50185562,97531.28016431,695.87187600
92.46924692,110900.19997463,97101.77737590,-62.86166411
92.47924792,109775.42703204,96426.49047770,-821.39800232
92.48924892,108820.16923081,95528.87218504,-1579.71548892
92.49924992,108082.54808360,94445.44169981,-2339.71035207
92.50925093,107600.17729142,93227.20246113,-3105.16412577
92.51925193,107400.12941970,91939.57741166,-3881.73356300
92.52925293,107493.74005837,90652.50104626,-4676.23098146
92.53925393,107876.08946755,89439.23353553,-5498.00997394
92.54925493,108523.50217257,88370.06893652,-6355.26988690
